t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref,v_meas,w_meas,reward
1770271223.6725323,1.2818578441500652,0.0,0.020000000011806206,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,0.01366250070385327,-0.032590846969859234,-0.1393982389755815
1770271224.0949304,1.2818578441500652,0.0,0.02000000000968109,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.005532775529100326,-0.02605454181083194,-0.1620484261627397
1770271224.5142076,1.2818578441500652,0.0,0.020000000007938494,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.004361199932745053,-0.020035995941095446,-0.1638343475723236
1770271224.9300861,1.2818578441500652,0.0,0.020000000006509564,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.003207979190846616,-0.016070469848861013,-0.16445858789879217
1770271225.3467846,1.2818578441500652,0.0,0.02000000000533784,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.002295113216751544,-0.012547900592916985,-0.16526271086904007
1770271225.7619684,1.2818578441500652,0.0,0.02000000000437703,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.001777430718157823,-0.010041452498312379,-0.16589664030161472
1770271226.1777537,1.2818578441500652,0.0,0.020000000003589164,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.0012606745852247344,-0.00798480430549116,-0.16636322827491387
1770271226.6217344,1.2818578441500652,0.0,0.020000000002943115,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.0011335853167832703,-0.006197106615756455,-0.1671030928010311
1770271227.0464363,1.2818578441500652,0.0,0.020000000002413355,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.000892863947049793,-0.004966258508735179,-0.16742211052653694
1770271227.4633374,1.2818578441500652,0.0,0.020000000001978952,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.0006064237737927603,-0.003961587135071201,-0.16761538836677614
1770271227.8779688,1.2818578441500652,0.0,0.02000000000162274,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.000432091076970532,-0.0029995055220114887,-0.16791783750042338
1770271228.2891672,1.2818578441500652,0.0,0.020000000001330648,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.000334084615650326,-0.002412487578245124,-0.168075833644057
1770271228.7060242,1.2818578441500652,0.0,0.02000000000109113,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.0002602243351405183,-0.0019748676988755945,-0.1682058434967923
